Ball,Bowler,Batsman,Runs,Status,Remarks
,,,,,
15.5,Washington Sundar,Shakib,1,1 run, 
,,,,,
15.6,Washington Sundar,Sabbir Rahman,1,1 run, 
,,,,,
16.1,Vijay Shankar,Sabbir Rahman,6,SIX, 
,,,,,
16.2,Vijay Shankar,Sabbir Rahman,0,no run, 
,,,,,
16.3,Vijay Shankar,Sabbir Rahman,6,SIX, 
,,,,,
16.4,Vijay Shankar,Sabbir Rahman,1,1 run, 
,,,,,
16.5,Vijay Shankar,Shakib,0,out,OUT
,,,,,
16.6,Vijay Shankar,Sabbir Rahman,1,1 run, 
,,,,,
17.1,SN Thakur,Sabbir Rahman,1,1 run, 
,,,,,
17.2,SN Thakur,Mehidy Hasan,1,1 run, 
,,,,,
17.3,SN Thakur,Sabbir Rahman,0,no run, 
,,,,,
17.4,SN Thakur,Sabbir Rahman,4,FOUR, 
,,,,,
17.5,SN Thakur,Sabbir Rahman,4,FOUR, 
,,,,,
17.6,SN Thakur,Sabbir Rahman,1,1 run, 
,,,,,
18.1,Unadkat,Sabbir Rahman,2,2 runs, 
,,,,,
18.2,Unadkat,Sabbir Rahman,0,out,OUT
,,,,,
18.3,Unadkat,Rubel,1,wide,Extra Run
,,,,,
18.3,Unadkat,Rubel,0,out,OUT
,,,,,
18.4,Unadkat,Mustafizur,0,no run, 
,,,,,
18.5,Unadkat,Mustafizur,0,no run, 
,,,,,
18.6,Unadkat,Mustafizur,0,no run, 
,,,,,
19.1,SN Thakur,Mehidy Hasan,4,FOUR, 
,,,,,
19.2,SN Thakur,Mehidy Hasan,6,SIX, 
,,,,,
19.3,SN Thakur,Mehidy Hasan,0,no run, 
,,,,,
19.4,SN Thakur,Mehidy Hasan,4,FOUR, 
,,,,,
19.5,SN Thakur,Mehidy Hasan,2,2 runs, 
,,,,,
19.6,SN Thakur,Mehidy Hasan,2,2 runs, 
,,,,,
0.1,Shakib,Dhawan,1,1 run, 
,,,,,
0.2,Shakib,Rohit,0,no run, 
,,,,,
0.3,Shakib,Rohit,4,FOUR, 
,,,,,
0.4,Shakib,Rohit,1,1 run, 
,,,,,
0.5,Shakib,Dhawan,1,1 run, 
,,,,,
0.6,Shakib,Rohit,0,no run, 
,,,,,
1.1,Mehidy Hasan,Dhawan,0,no run, 
,,,,,
1.2,Mehidy Hasan,Dhawan,1,1 run, 
,,,,,
1.3,Mehidy Hasan,Rohit,6,SIX, 
,,,,,
1.4,Mehidy Hasan,Rohit,4,FOUR, 
,,,,,
1.5,Mehidy Hasan,Rohit,6,SIX, 
,,,,,
1.6,Mehidy Hasan,Rohit,0,no run, 
,,,,,
2.1,Shakib,Dhawan,6,SIX, 
,,,,,
2.2,Shakib,Dhawan,1,1 run, 
,,,,,
2.3,Shakib,Rohit,1,1 run, 
,,,,,
2.4,Shakib,Dhawan,0,out,OUT
,,,,,
2.5,Shakib,Rohit,0,no run, 
,,,,,
2.6,Shakib,Rohit,0,no run, 
,,,,,
3.1,Rubel,Raina,0,no run, 
,,,,,
3.2,Rubel,Raina,0,no run, 
,,,,,
3.3,Rubel,Raina,0,out,OUT
,,,,,
3.4,Rubel,Rahul,0,no run, 
,,,,,
3.5,Rubel,Rahul,4,FOUR, 
,,,,,
3.6,Rubel,Rahul,1,1 run, 
,,,,,
4.1,Nazmul Islam,Rahul,1,1 run, 
,,,,,
4.2,Nazmul Islam,Rohit,0,no run, 
,,,,,
4.3,Nazmul Islam,Rohit,4,FOUR, 
,,,,,
4.4,Nazmul Islam,Rohit,6,SIX, 
,,,,,
4.5,Nazmul Islam,Rohit,0,no run, 
,,,,,
4.6,Nazmul Islam,Rohit,0,no run, 
,,,,,
5.1,Mustafizur,Rahul,1,1 run, 
,,,,,
5.2,Mustafizur,Rohit,4,FOUR, 
,,,,,
5.3,Mustafizur,Rohit,0,no run, 
,,,,,
5.4,Mustafizur,Rohit,2,2 runs, 
,,,,,
5.5,Mustafizur,Rohit,0,no run, 
,,,,,
5.6,Mustafizur,Rohit,1,1 run, 
,,,,,
6.1,Shakib,Rohit,1,1 run, 
,,,,,
6.2,Shakib,Rahul,6,SIX, 
,,,,,
6.3,Shakib,Rahul,1,1 run, 
,,,,,
6.4,Shakib,Rohit,2,2 runs, 
,,,,,
6.5,Shakib,Rohit,0,no run, 
,,,,,
6.6,Shakib,Rohit,1,1 run, 
,,,,,
7.1,Rubel,Rohit,0,no run, 
,,,,,
7.2,Rubel,Rohit,1,1 run, 
,,,,,
7.3,Rubel,Rahul,2,2 runs, 
,,,,,
7.4,Rubel,Rahul,1,1 run, 
,,,,,
7.5,Rubel,Rohit,0,no run, 
,,,,,
7.6,Rubel,Rohit,1,1 run, 
,,,,,
8.1,Nazmul Islam,Rohit,0,no run, 
,,,,,
8.2,Nazmul Islam,Rohit,1,1 run, 
,,,,,
8.3,Nazmul Islam,Rahul,1,1 run, 
,,,,,
8.4,Nazmul Islam,Rohit,1,1 run, 
,,,,,
8.5,Nazmul Islam,Rahul,4,FOUR, 
,,,,,
8.6,Nazmul Islam,Rahul,1,wide,Extra Run
,,,,,
8.6,Nazmul Islam,Rahul,1,1 run, 
,,,,,
9.1,Rubel,Rahul,1,1 run, 
,,,,,
9.2,Rubel,Rohit,1,1 run, 
,,,,,
9.3,Rubel,Rahul,0,out,OUT
,,,,,
9.4,Rubel,Manish Pandey,0,no run, 
,,,,,
9.5,Rubel,Manish Pandey,0,no run, 
,,,,,
9.6,Rubel,Manish Pandey,1,1 run, 
,,,,,
10.1,Shakib,Manish Pandey,1,1 run, 
,,,,,
10.2,Shakib,Rohit,1,1 run, 
,,,,,
10.3,Shakib,Manish Pandey,0,no run, 
,,,,,
10.4,Shakib,Manish Pandey,0,no run, 
,,,,,
10.5,Shakib,Manish Pandey,0,no run, 
,,,,,
10.6,Shakib,Manish Pandey,0,no run, 
,,,,,
11.1,Nazmul Islam,Rohit,1,1 run, 
,,,,,
11.2,Nazmul Islam,Manish Pandey,1,1 run, 
,,,,,
11.3,Nazmul Islam,Rohit,1,1 run, 
,,,,,
11.4,Nazmul Islam,Manish Pandey,1,1 run, 
,,,,,
11.5,Nazmul Islam,Rohit,0,no run, 
,,,,,
11.6,Nazmul Islam,Rohit,1,1 run, 
,,,,,
12.1,Mustafizur,Rohit,2,2 runs, 
,,,,,
12.2,Mustafizur,Rohit,1,1 run, 
,,,,,
12.3,Mustafizur,Manish Pandey,1,1 run, 
,,,,,
12.4,Mustafizur,Rohit,1,1 run, 
,,,,,
12.5,Mustafizur,Manish Pandey,0,no run, 
,,,,,
12.6,Mustafizur,Manish Pandey,1,1 run, 
,,,,,
13.1,Nazmul Islam,Manish Pandey,1,1 run, 
,,,,,
13.2,Nazmul Islam,Rohit,0,out,OUT
,,,,,
13.3,Nazmul Islam,Vijay Shankar,1,1 run, 
,,,,,
13.4,Nazmul Islam,Manish Pandey,1,1 run, 
,,,,,
13.5,Nazmul Islam,Vijay Shankar,4,FOUR, 
,,,,,
13.6,Nazmul Islam,Vijay Shankar,0,no run, 
,,,,,
14.1,Soumya Sarkar,Manish Pandey,1,1 run, 
,,,,,
14.2,Soumya Sarkar,Vijay Shankar,1,1 run, 
,,,,,
14.3,Soumya Sarkar,Manish Pandey,4,FOUR, 
,,,,,
14.4,Soumya Sarkar,Manish Pandey,4,FOUR, 
,,,,,
14.5,Soumya Sarkar,Manish Pandey,1,1 run, 
,,,,,
14.6,Soumya Sarkar,Vijay Shankar,0,no run, 
,,,,,
15.1,Mustafizur,Manish Pandey,2,2 runs, 
,,,,,
15.2,Mustafizur,Manish Pandey,1,1 run, 
,,,,,
15.3,Mustafizur,Vijay Shankar,0,no run, 
,,,,,
15.4,Mustafizur,Vijay Shankar, ,1 run,Leg byes
,,,,,
15.5,Mustafizur,Manish Pandey,4,FOUR, 
,,,,,
15.6,Mustafizur,Manish Pandey,0,no run, 
,,,,,
16.1,Soumya Sarkar,Vijay Shankar,1,1 run, 
,,,,,
16.2,Soumya Sarkar,Manish Pandey,2,2 runs, 
,,,,,
16.3,Soumya Sarkar,Manish Pandey,1,1 run, 
,,,,,
16.4,Soumya Sarkar,Vijay Shankar,4,FOUR, 
,,,,,
16.5,Soumya Sarkar,Vijay Shankar,1,1 run, 
,,,,,
16.6,Soumya Sarkar,Manish Pandey,0,no run, 
,,,,,
17.1,Mustafizur,Vijay Shankar,0,no run, 
,,,,,
17.2,Mustafizur,Vijay Shankar,0,no run, 
,,,,,
17.3,Mustafizur,Vijay Shankar,0,no run, 
,,,,,
17.4,Mustafizur,Vijay Shankar,0,no run, 
,,,,,
17.5,Mustafizur,Vijay Shankar, ,1 run,Leg byes
,,,,,
17.6,Mustafizur,Manish Pandey,0,out,OUT
,,,,,
18.1,Rubel,Karthik,6,SIX, 
,,,,,
18.2,Rubel,Karthik,4,FOUR, 
,,,,,
18.3,Rubel,Karthik,6,SIX, 
,,,,,
18.4,Rubel,Karthik,0,no run, 
,,,,,
18.5,Rubel,Karthik,2,2 runs, 
,,,,,
18.6,Rubel,Karthik,4,FOUR, 
,,,,,
19.1,Soumya Sarkar,Vijay Shankar,1,wide,Extra Run
,,,,,
19.1,Soumya Sarkar,Vijay Shankar,0,no run, 
,,,,,
19.2,Soumya Sarkar,Vijay Shankar,1,1 run, 
,,,,,
19.3,Soumya Sarkar,Karthik,1,1 run, 
,,,,,
19.4,Soumya Sarkar,Vijay Shankar,4,FOUR, 
,,,,,
19.5,Soumya Sarkar,Vijay Shankar,0,out,OUT
,,,,,
19.6,Soumya Sarkar,Karthik,6,SIX, 
