Ball,Bowler,Batsman,Status,Remarks
8.2,Nazmul Islam,Rohit,1 run, 
8.1,Nazmul Islam,Rohit,no run, 
7.6,Rubel,Rohit,1 run, 
7.5,Rubel,Rohit,no run, 
7.4,Rubel,Rahul,1 run, 
7.3,Rubel,Rahul,2 runs, 
7.2,Rubel,Rohit,1 run, 
7.1,Rubel,Rohit,no run, 
6.6,Shakib,Rohit,1 run, 
6.5,Shakib,Rohit,no run, 
6.4,Shakib,Rohit,2 runs, 
6.3,Shakib,Rahul,1 run, 
6.2,Shakib,Rahul,SIX, 
6.1,Shakib,Rohit,1 run, 
5.6,Mustafizur,Rohit,1 run, 
5.5,Mustafizur,Rohit,no run, 
5.4,Mustafizur,Rohit,2 runs, 
5.3,Mustafizur,Rohit,no run, 
5.2,Mustafizur,Rohit,FOUR, 
5.1,Mustafizur,Rahul,1 run, 
4.6,Nazmul Islam,Rohit,no run, 
4.5,Nazmul Islam,Rohit,no run, 
4.4,Nazmul Islam,Rohit,SIX, 
4.3,Nazmul Islam,Rohit,FOUR, 
4.2,Nazmul Islam,Rohit,no run, 
4.1,Nazmul Islam,Rahul,1 run, 
3.6,Rubel,Rahul,1 run, 
3.5,Rubel,Rahul,FOUR, 
3.4,Rubel,Rahul,no run, 
3.3,Rubel,Raina,out, 
3.2,Rubel,Raina,no run, 
3.1,Rubel,Raina,no run, 
2.6,Shakib,Rohit,no run, 
2.5,Shakib,Rohit,no run, 
2.4,Shakib,Dhawan,out, 
2.3,Shakib,Rohit,1 run, 
2.2,Shakib,Dhawan,1 run, 
2.1,Shakib,Dhawan,SIX, 
1.6,Mehidy Hasan,Rohit,no run, 
1.5,Mehidy Hasan,Rohit,SIX, 
1.4,Mehidy Hasan,Rohit,FOUR, 
1.3,Mehidy Hasan,Rohit,SIX, 
1.2,Mehidy Hasan,Dhawan,1 run, 
1.1,Mehidy Hasan,Dhawan,no run, 
0.6,Shakib,Rohit,no run, 
0.5,Shakib,Dhawan,1 run, 
0.4,Shakib,Rohit,1 run, 
0.3,Shakib,Rohit,FOUR, 
0.2,Shakib,Rohit,no run, 
0.1,Shakib,Dhawan,1 run, 
19.6,SN Thakur,Mehidy Hasan,2 runs, 
19.5,SN Thakur,Mehidy Hasan,2 runs, 
19.4,SN Thakur,Mehidy Hasan,FOUR, 
19.3,SN Thakur,Mehidy Hasan,no run, 
19.2,SN Thakur,Mehidy Hasan,SIX, 
19.1,SN Thakur,Mehidy Hasan,FOUR, 
18.6,Unadkat,Mustafizur,no run, 
18.5,Unadkat,Mustafizur,no run, 
18.4,Unadkat,Mustafizur,no run, 
18.3,Unadkat,Rubel,out, 
18.3,Unadkat,Rubel,wide, 
18.2,Unadkat,Sabbir Rahman,out, 
18.1,Unadkat,Sabbir Rahman,2 runs, 
17.6,SN Thakur,Sabbir Rahman,1 run, 
17.5,SN Thakur,Sabbir Rahman,FOUR, 
17.4,SN Thakur,Sabbir Rahman,FOUR, 
17.3,SN Thakur,Sabbir Rahman,no run, 
17.2,SN Thakur,Mehidy Hasan,1 run, 
17.1,SN Thakur,Sabbir Rahman,1 run, 
16.6,Vijay Shankar,Sabbir Rahman,1 run, 
16.5,Vijay Shankar,Shakib,out, 
16.4,Vijay Shankar,Sabbir Rahman,1 run, 
16.3,Vijay Shankar,Sabbir Rahman,SIX, 
16.2,Vijay Shankar,Sabbir Rahman,no run, 
16.1,Vijay Shankar,Sabbir Rahman,SIX, 
15.6,Washington Sundar,Sabbir Rahman,1 run, 
15.5,Washington Sundar,Shakib,1 run, 
15.4,Washington Sundar,Shakib,no run, 
15.3,Washington Sundar,Sabbir Rahman,1 run, 
15.2,Washington Sundar,Sabbir Rahman,SIX, 
15.1,Washington Sundar,Shakib,1 run, 
14.6,Vijay Shankar,Shakib,1 run, 
14.5,Vijay Shankar,Shakib,no run, 
14.4,Vijay Shankar,Shakib,FOUR, 
14.3,Vijay Shankar,Sabbir Rahman,1 run, 
14.2,Vijay Shankar,Mahmudullah,out, 
14.1,Vijay Shankar,Mahmudullah,FOUR, 
13.6,SN Thakur,Mahmudullah,1 run, 
13.5,SN Thakur,Mahmudullah,no run, 
13.4,SN Thakur,Sabbir Rahman,1 run, 
13.3,SN Thakur,Sabbir Rahman,no run, 
13.2,SN Thakur,Sabbir Rahman,FOUR, 
13.1,SN Thakur,Sabbir Rahman,FOUR, 
12.6,Unadkat,Sabbir Rahman,1 run, 
12.5,Unadkat,Mahmudullah,1 run, 
12.4,Unadkat,Mahmudullah,FOUR, 
12.3,Unadkat,Mahmudullah,no run, 
12.2,Unadkat,Sabbir Rahman,1 run, 
12.1,Unadkat,Mahmudullah,1 run, 
11.6,Vijay Shankar,Mahmudullah,1 run, 
11.5,Vijay Shankar,Sabbir Rahman,1 run, 
11.4,Vijay Shankar,Mahmudullah,1 run, 
11.3,Vijay Shankar,Mahmudullah,2 runs, 
11.3,Vijay Shankar,Mahmudullah,wide, 
11.2,Vijay Shankar,Mahmudullah,2 runs, 
11.1,Vijay Shankar,Mahmudullah,2 runs, 
10.6,Chahal,Mahmudullah,1 run, 
10.5,Chahal,Mahmudullah,no run, 
10.4,Chahal,Sabbir Rahman,1 run, 
10.3,Chahal,Mahmudullah,1 run, 
10.2,Chahal,Sabbir Rahman,1 run, 
10.1,Chahal,Rahim,out, 
9.6,Washington Sundar,Sabbir Rahman,no run, 
9.5,Washington Sundar,Rahim,1 run, 
9.4,Washington Sundar,Rahim,no run, 
9.3,Washington Sundar,Sabbir Rahman,1 run, 
9.2,Washington Sundar,Sabbir Rahman,2 runs, 
9.1,Washington Sundar,Rahim,1 run, 
8.6,Chahal,Rahim,1 run, 
8.5,Chahal,Sabbir Rahman,1 run, 
8.4,Chahal,Sabbir Rahman,no run, 
8.3,Chahal,Sabbir Rahman,no run, 
8.2,Chahal,Rahim,1 run, 
8.1,Chahal,Sabbir Rahman,1 run, 
7.6,Vijay Shankar,Sabbir Rahman,1 run, 
7.5,Vijay Shankar,Rahim,1 run, 
7.4,Vijay Shankar,Sabbir Rahman,1 run, 
7.3,Vijay Shankar,Sabbir Rahman,FOUR, 
7.2,Vijay Shankar,Sabbir Rahman,SIX, 
7.1,Vijay Shankar,Rahim,1 run, 
6.6,Chahal,Rahim,1 run, 
6.5,Chahal,Sabbir Rahman,1 run, 
6.4,Chahal,Rahim,1 run, 
6.3,Chahal,Sabbir Rahman,1 run, 
6.2,Chahal,Sabbir Rahman,no run, 
6.1,Chahal,Rahim,1 run, 
5.6,SN Thakur,Sabbir Rahman,no run, 
5.6,SN Thakur,Sabbir Rahman,wide, 
5.5,SN Thakur,Sabbir Rahman,no run, 
5.4,SN Thakur,Sabbir Rahman,FOUR, 
5.3,SN Thakur,Sabbir Rahman,no run, 
5.2,SN Thakur,Rahim,leg byes,legbyes
5.1,SN Thakur,Sabbir Rahman,1 run, 
4.6,Chahal,Soumya Sarkar,out, 
4.5,Chahal,Sabbir Rahman,leg byes,legbyes
4.4,Chahal,Sabbir Rahman,FOUR, 
4.3,Chahal,Soumya Sarkar,1 run, 
4.2,Chahal,Tamim,out, 
4.1,Chahal,Tamim,no run, 
3.6,Washington Sundar,Sabbir Rahman,no run, 
3.5,Washington Sundar,Sabbir Rahman,no run, 
3.4,Washington Sundar,Sabbir Rahman,no run, 
3.3,Washington Sundar,Sabbir Rahman,no run, 
3.2,Washington Sundar,Liton Das,out, 
3.1,Washington Sundar,Tamim,1 run, 
2.6,Unadkat,Tamim,1 run, 
2.5,Unadkat,Liton Das,1 run, 
2.4,Unadkat,Tamim,1 run, 
2.3,Unadkat,Liton Das,1 run, 
2.2,Unadkat,Liton Das,SIX, 
2.1,Unadkat,Tamim,3 runs, 
1.6,Washington Sundar,Liton Das,no run, 
1.5,Washington Sundar,Tamim,1 run, 
1.4,Washington Sundar,Tamim,2 runs, 
1.3,Washington Sundar,Tamim,no run, 
1.2,Washington Sundar,Tamim,no run, 
1.1,Washington Sundar,Liton Das,1 run, 
0.6,Unadkat,Tamim,FOUR, 
0.5,Unadkat,Liton Das,1 run, 
0.4,Unadkat,Tamim,1 run, 
0.3,Unadkat,Liton Das,1 run, 
0.3,Unadkat,Liton Das,wide, 
0.2,Unadkat,Liton Das,no run, 
0.1,Unadkat,Tamim,1 run, 
