overs,comment
19.5,"SN Thakur,Mehidy Hasan,2 runs,"
19.4,"SN Thakur,Mehidy Hasan,<b>FOUR</b>,"
19.3,"SN Thakur,Mehidy Hasan,no run,"
19.2,"SN Thakur,Mehidy Hasan,<b>SIX</b>,"
19.1,"SN Thakur,Mehidy Hasan,<b>FOUR</b>,"
18.6,"Unadkat,Mustafizur,no run,"
18.5,"Unadkat,Mustafizur,no run,"
18.4,"Unadkat,Mustafizur,no run,"
18.3,"Unadkat to Rubel, <b>out</b> "
18.3,"Unadkat,Rubel,<b>wide</b>,"
18.2,"Unadkat to Sabbir Rahman, <b>out</b> "
18.1,"Unadkat,Sabbir Rahman,2 runs,"
17.6,"SN Thakur,Sabbir Rahman,1 run,"
17.5,"SN Thakur,Sabbir Rahman,<b>FOUR</b>,"
17.4,"SN Thakur,Sabbir Rahman,<b>FOUR</b>,"
17.3,"SN Thakur,Sabbir Rahman,no run,"
17.2,"SN Thakur,Mehidy Hasan,1 run,"
17.1,"SN Thakur,Sabbir Rahman,1 run,"
16.6,"Vijay Shankar,Sabbir Rahman,1 run,"
16.5,"Vijay Shankar to Shakib, <b>out</b> "
16.4,"Vijay Shankar,Sabbir Rahman,1 run,"
16.3,"Vijay Shankar,Sabbir Rahman,<b>SIX</b>,"
16.2,"Vijay Shankar,Sabbir Rahman,no run,"
16.1,"Vijay Shankar,Sabbir Rahman,<b>SIX</b>,"
15.6,"Washington Sundar,Sabbir Rahman,1 run,"
15.5,"Washington Sundar,Shakib,1 run,"
15.4,"Washington Sundar,Shakib,no run,"
15.3,"Washington Sundar,Sabbir Rahman,1 run,"
15.2,"Washington Sundar,Sabbir Rahman,<b>SIX</b>,"
15.1,"Washington Sundar,Shakib,1 run,"
14.6,"Vijay Shankar,Shakib,1 run,"
14.5,"Vijay Shankar,Shakib,no run,"
14.4,"Vijay Shankar,Shakib,<b>FOUR</b>,"
14.3,"Vijay Shankar,Sabbir Rahman,1 run,"
14.2,"Vijay Shankar to Mahmudullah, <b>out</b> "
14.1,"Vijay Shankar,Mahmudullah,<b>FOUR</b>,"
13.6,"SN Thakur,Mahmudullah,1 run,"
13.5,"SN Thakur,Mahmudullah,no run,"
13.4,"SN Thakur,Sabbir Rahman,1 run,"
13.3,"SN Thakur,Sabbir Rahman,no run,"
13.2,"SN Thakur,Sabbir Rahman,<b>FOUR</b>,"
13.1,"SN Thakur,Sabbir Rahman,<b>FOUR</b>,"
12.6,"Unadkat,Sabbir Rahman,1 run,"
12.5,"Unadkat,Mahmudullah,1 run,"
